Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
grm-global,typography/sans,VariableID:132:811,inter,typography/sans → GRM Global/typography/sans,--typography-sans,,missing,,missing
grm-global,typography/heading,VariableID:132:812,inter,typography/heading → GRM Global/typography/heading,--typography-heading,,missing,,missing
grm-global,appointment/scheduled/light,VariableID:3464:38,#ececef,appointment/scheduled/light → GRM Global/status/appointment/scheduled/light → slateGray/50,--appointment-scheduled-light,,missing,#ececef,equal
grm-global,appointment/scheduled/light-border,VariableID:3464:39,#ccced6,appointment/scheduled/light-border → GRM Global/status/appointment/scheduled/light-border → slateGray/200,--appointment-scheduled-light-border,,missing,#ccced6,equal
grm-global,appointment/scheduled/default,VariableID:3464:40,#6a6f86,appointment/scheduled/default → GRM Global/status/appointment/scheduled/default → slateGray/500,--appointment-scheduled-default,,missing,#6a6f86,equal
grm-global,appointment/scheduled/foreground,VariableID:3464:41,#56596c,appointment/scheduled/foreground → GRM Global/status/appointment/scheduled/foreground → slateGray/700,--appointment-scheduled-foreground,,missing,#56596c,equal
grm-global,appointment/confirmed/light,VariableID:3464:42,#e6eef8,appointment/confirmed/light → GRM Global/status/appointment/confirmed/light → clearBlue/50,--appointment-confirmed-light,,missing,#e6eef8,equal
grm-global,appointment/confirmed/light-border,VariableID:3464:43,#bed1ed,appointment/confirmed/light-border → GRM Global/status/appointment/confirmed/light-border → clearBlue/200,--appointment-confirmed-light-border,,missing,#bed1ed,equal
grm-global,typography/mono,VariableID:132:813,jetbrains-mono,typography/mono → GRM Global/typography/mono,--typography-mono,,missing,,missing
grm-global,destructive/20%,VariableID:3537:30628,#e31646 / 20%,destructive/20% → GRM Global/status/destructive/500-20%,--destructive-20,,missing,oklch(0.6566 0.2317 17.86 / 20%),different
grm-global,background,VariableID:44:183,#faf8fb,background → GRM Global/neutral/50,--background,#f8f7f9,different,#f8f7f9,different
grm-global,foreground,VariableID:44:184,#2c282a,foreground → GRM Global/neutral/900,--foreground,#342f32,different,#342f32,different
grm-global,primary,VariableID:44:185,#007b6d,primary → GRM Global/primary/500,--primary,#008979,different,#008979,different
grm-global,secondary,VariableID:44:186,#ddf9ee,secondary → GRM Global/secondary/100,--secondary,#ddf9ee,equal,#ddf9ee,equal
grm-global,accent,VariableID:44:187,#e7e2ed,accent → GRM Global/accent/200,--accent,#ddd8e3,different,#ddd8e3,different
grm-global,muted,VariableID:44:188,#f6f2f4,muted → GRM Global/neutral/100,--muted,#ece8ea,different,#ece8ea,different
